,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_5,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_10,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_20,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,confirm_50,death_5,death_5,death_5,death_5,death_5,death_5,death_10,death_10,death_10,death_10,death_10,death_10,death_20,death_20,death_20,death_20,death_20,death_20,death_50,death_50,death_50,death_50,death_50,death_50
,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem,sum,mean,median,var,std,sem
Kansas,151.0,2.48,2.0,6.39,2.53,0.32,257.0,4.76,3.0,29.96,5.47,0.74,564.0,17.62,5.0,635.73,25.21,4.46,0.0,,,,,,2.0,0.03,0.0,0.03,0.18,0.02,7.0,0.13,0.0,0.15,0.39,0.05,16.0,0.5,0.0,1.23,1.11,0.2,0.0,,,,,
Kentucky,226.0,2.43,2.0,10.42,3.23,0.33,419.0,4.99,3.0,26.69,5.17,0.56,610.0,17.43,9.0,432.78,20.8,3.52,0.0,,,,,,6.0,0.06,0.0,0.08,0.29,0.03,14.0,0.17,0.0,0.33,0.58,0.06,23.0,0.66,0.0,2.23,1.49,0.25,0.0,,,,,
Louisiana,347.0,5.42,3.0,73.77,8.59,1.07,1566.0,25.26,14.0,2196.52,46.87,5.95,8344.0,160.46,86.5,70244.21,265.04,36.75,0.0,,,,,,17.0,0.27,0.0,0.33,0.57,0.07,42.0,0.68,0.0,2.22,1.49,0.19,333.0,6.4,3.5,197.15,14.04,1.95,0.0,,,,,
Maine,61.0,4.07,2.0,37.64,6.13,1.58,150.0,10.0,4.0,354.71,18.83,4.86,462.0,38.5,12.5,4027.18,63.46,18.32,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.75,0.0,2.2,1.48,0.43,0.0,,,,,
Maryland,90.0,3.75,3.0,14.8,3.85,0.79,255.0,10.62,7.0,108.59,10.42,2.13,1823.0,82.86,61.0,7976.22,89.31,19.04,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.12,0.0,0.11,0.34,0.07,22.0,1.0,1.0,1.52,1.23,0.26,0.0,,,,,
Massachusetts,67.0,5.58,5.0,17.9,4.23,1.22,402.0,33.5,27.0,708.64,26.62,7.68,4220.0,351.67,310.0,82862.06,287.86,83.1,108.0,108.0,108.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.17,0.0,0.33,0.58,0.17,78.0,6.5,3.0,88.64,9.41,2.72,1.0,1.0,1.0,,,
Michigan,291.0,3.78,2.0,22.25,4.72,0.54,1176.0,16.11,6.0,1089.82,33.01,3.86,8986.0,154.93,21.5,233270.49,482.98,63.42,0.0,,,,,,7.0,0.09,0.0,0.11,0.33,0.04,29.0,0.4,0.0,0.66,0.81,0.1,313.0,5.4,1.0,223.72,14.96,1.96,0.0,,,,,
Minnesota,187.0,2.79,2.0,9.77,3.13,0.38,352.0,5.59,3.0,57.63,7.59,0.96,719.0,17.98,7.5,1112.23,33.35,5.27,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.52,0.0,1.9,1.38,0.22,0.0,,,,,
Mississippi,339.0,4.19,3.0,11.5,3.39,0.38,808.0,10.1,7.0,125.13,11.19,1.25,1977.0,28.65,19.0,951.64,30.85,3.71,0.0,,,,,,3.0,0.04,0.0,0.04,0.19,0.02,14.0,0.18,0.0,0.17,0.41,0.05,64.0,0.93,1.0,2.48,1.57,0.19,0.0,,,,,
Missouri,249.0,2.77,2.0,6.81,2.61,0.28,643.0,7.94,3.0,129.83,11.39,1.27,1840.0,36.8,11.5,4469.14,66.85,9.45,0.0,,,,,,2.0,0.02,0.0,0.02,0.15,0.02,8.0,0.1,0.0,0.09,0.3,0.03,45.0,0.9,0.0,2.58,1.61,0.23,0.0,,,,,
Montana,57.0,2.04,1.0,2.11,1.45,0.27,98.0,4.08,3.0,10.08,3.17,0.65,278.0,15.44,7.5,480.14,21.91,5.16,0.0,,,,,,3.0,0.11,0.0,0.17,0.42,0.08,4.0,0.17,0.0,0.41,0.64,0.13,5.0,0.28,0.0,0.57,0.75,0.18,0.0,,,,,
Nebraska,95.0,2.16,1.0,5.58,2.36,0.36,207.0,5.75,2.0,95.51,9.77,1.63,236.0,16.86,15.5,209.36,14.47,3.87,0.0,,,,,,1.0,0.02,0.0,0.02,0.15,0.02,1.0,0.03,0.0,0.03,0.17,0.03,5.0,0.36,0.0,0.4,0.63,0.17,0.0,,,,,
Nevada,20.0,2.0,2.0,1.56,1.25,0.39,49.0,5.44,4.0,24.53,4.95,1.65,330.0,41.25,10.0,4956.5,70.4,24.89,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.75,0.0,1.93,1.39,0.49,0.0,,,,,
New Hampshire,40.0,4.0,3.5,11.78,3.43,1.09,86.0,8.6,7.0,46.27,6.8,2.15,432.0,43.2,19.0,3286.18,57.33,18.13,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.32,0.1,2.0,0.2,0.0,0.4,0.63,0.2,0.0,,,,,
New Jersey,124.0,5.9,5.0,23.39,4.84,1.06,830.0,39.52,33.0,880.26,29.67,6.47,11310.0,538.57,333.0,232276.16,481.95,105.17,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.38,0.0,0.85,0.92,0.2,113.0,5.38,3.0,32.55,5.71,1.24,0.0,,,,,
New Mexico,86.0,3.31,2.5,10.94,3.31,0.65,181.0,7.87,5.0,101.12,10.06,2.1,533.0,35.53,18.0,1788.84,42.29,10.92,0.0,,,,,,1.0,0.04,0.0,0.04,0.2,0.04,1.0,0.04,0.0,0.04,0.21,0.04,6.0,0.4,0.0,0.4,0.63,0.16,0.0,,,,,
New York,416.0,7.17,4.0,76.29,8.73,1.15,1593.0,27.47,11.5,1269.73,35.63,4.68,22544.0,425.36,43.0,1447112.81,1202.96,165.24,0.0,,,,,,1.0,0.02,0.0,0.02,0.13,0.02,13.0,0.22,0.0,0.32,0.56,0.07,171.0,3.23,1.0,56.1,7.49,1.03,0.0,,,,,
North Carolina,271.0,2.88,2.5,4.75,2.18,0.22,747.0,8.03,5.0,104.12,10.2,1.06,2211.0,33.5,18.0,3003.21,54.8,6.75,0.0,,,,,,3.0,0.03,0.0,0.03,0.18,0.02,8.0,0.09,0.0,0.1,0.32,0.03,41.0,0.62,0.0,0.92,0.96,0.12,0.0,,,,,
North Dakota,83.0,2.59,1.0,10.18,3.19,0.56,131.0,4.68,2.0,42.15,6.49,1.23,165.0,13.75,3.0,331.48,18.21,5.26,0.0,,,,,,1.0,0.03,0.0,0.03,0.18,0.03,2.0,0.07,0.0,0.07,0.26,0.05,5.0,0.42,0.0,0.45,0.67,0.19,0.0,,,,,
Ohio,306.0,3.56,2.0,15.21,3.9,0.42,856.0,10.57,5.0,168.82,12.99,1.44,3768.0,61.77,23.0,9709.38,98.54,12.62,0.0,,,,,,5.0,0.06,0.0,0.06,0.24,0.03,17.0,0.21,0.0,0.37,0.61,0.07,123.0,2.02,1.0,11.72,3.42,0.44,0.0,,,,,
Oklahoma,201.0,3.19,2.0,17.06,4.13,0.52,479.0,8.12,4.0,104.62,10.23,1.33,1185.0,31.18,18.0,1853.51,43.05,6.98,0.0,,,,,,4.0,0.06,0.0,0.06,0.25,0.03,16.0,0.27,0.0,0.44,0.67,0.09,54.0,1.42,1.0,5.39,2.32,0.38,0.0,,,,,
Oregon,62.0,2.14,1.0,3.55,1.88,0.35,136.0,4.86,3.0,20.05,4.48,0.85,483.0,20.12,12.0,645.59,25.41,5.19,0.0,,,,,,2.0,0.07,0.0,0.07,0.26,0.05,2.0,0.07,0.0,0.07,0.26,0.05,16.0,0.67,0.0,1.19,1.09,0.22,0.0,,,,,
Pennsylvania,270.0,4.03,3.0,10.91,3.3,0.4,951.0,14.63,8.0,211.08,14.53,1.8,6962.0,142.08,49.0,39358.16,198.39,28.34,0.0,,,,,,2.0,0.03,0.0,0.03,0.17,0.02,13.0,0.2,0.0,0.26,0.51,0.06,88.0,1.8,1.0,6.42,2.53,0.36,0.0,,,,,
